Station;145 Frohnau;145 Frohnau;145 Frohnau;145 Frohnau
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2020 00:00;0;7;8;44
01.01.2020 01:00;0;7;7;45
01.01.2020 02:00;0;8;8;42
01.01.2020 03:00;0;11;11;34
01.01.2020 04:00;0;9;9;32
01.01.2020 05:00;0;6;6;32
01.01.2020 06:00;0;4;4;49
01.01.2020 07:00;0;4;4;51
01.01.2020 08:00;0;4;4;51
01.01.2020 09:00;0;4;4;48
01.01.2020 10:00;0;4;5;42
01.01.2020 11:00;0;6;7;37
01.01.2020 12:00;1;6;7;44
01.01.2020 13:00;0;3;4;61
01.01.2020 14:00;0;3;3;68
01.01.2020 15:00;0;5;5;59
01.01.2020 16:00;0;10;11;42
01.01.2020 17:00;0;11;11;38
01.01.2020 18:00;0;10;10;34
01.01.2020 19:00;5;26;33;10
01.01.2020 20:00;5;30;38;4
01.01.2020 21:00;4;25;32;8
01.01.2020 22:00;1;22;23;16
01.01.2020 23:00;1;23;24;17
02.01.2020 00:00;1;20;21;15
02.01.2020 01:00;0;16;17;11
02.01.2020 02:00;0;18;19;11
02.01.2020 03:00;2;14;17;3
02.01.2020 04:00;9;21;35;0
02.01.2020 05:00;24;26;62;0
02.01.2020 06:00;43;26;92;1
02.01.2020 07:00;23;30;64;1
02.01.2020 08:00;18;32;60;0
02.01.2020 09:00;32;31;79;1
02.01.2020 10:00;48;28;101;1
02.01.2020 11:00;52;27;106;1
02.01.2020 12:00;39;32;92;3
02.01.2020 13:00;35;35;88;3
02.01.2020 14:00;24;38;75;4
02.01.2020 15:00;6;33;43;11
02.01.2020 16:00;2;26;29;17
02.01.2020 17:00;0;25;26;25
02.01.2020 18:00;0;28;29;19
02.01.2020 19:00;1;28;29;12
02.01.2020 20:00;21;45;78;2
02.01.2020 21:00;9;43;57;3
02.01.2020 22:00;6;39;48;4
02.01.2020 23:00;4;31;37;5
03.01.2020 00:00;1;23;25;17
03.01.2020 01:00;1;21;22;18
