Station;027 Marienfelde;027 Marienfelde;027 Marienfelde;027 Marienfelde
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2020 00:00;0;6;7;55
01.01.2020 01:00;0;13;14;41
01.01.2020 02:00;1;29;29;20
01.01.2020 03:00;0;17;17;26
01.01.2020 04:00;0;15;15;30
01.01.2020 05:00;0;8;8;44
01.01.2020 06:00;0;4;4;58
01.01.2020 07:00;0;4;4;59
01.01.2020 08:00;0;4;5;56
01.01.2020 09:00;0;7;7;49
01.01.2020 10:00;0;8;8;43
01.01.2020 11:00;1;9;11;40
01.01.2020 12:00;1;7;8;45
01.01.2020 13:00;1;6;7;51
01.01.2020 14:00;0;4;5;61
01.01.2020 15:00;0;5;5;58
01.01.2020 16:00;0;6;6;52
01.01.2020 17:00;0;9;9;42
01.01.2020 18:00;0;10;11;39
01.01.2020 19:00;0;10;10;30
01.01.2020 20:00;0;12;12;30
01.01.2020 21:00;0;12;12;30
01.01.2020 22:00;0;13;14;26
01.01.2020 23:00;0;11;11;21
02.01.2020 00:00;0;10;10;20
02.01.2020 01:00;0;19;19;12
02.01.2020 02:00;0;17;18;14
02.01.2020 03:00;0;14;14;13
02.01.2020 04:00;0;12;13;20
02.01.2020 05:00;0;16;16;17
02.01.2020 06:00;1;20;21;11
02.01.2020 07:00;0;14;14;17
02.01.2020 08:00;4;17;24;10
02.01.2020 09:00;3;21;26;10
02.01.2020 10:00;4;20;27;15
02.01.2020 11:00;8;20;33;18
02.01.2020 12:00;5;13;20;28
02.01.2020 13:00;4;13;20;31
02.01.2020 14:00;4;14;20;32
02.01.2020 15:00;3;17;21;31
02.01.2020 16:00;1;19;20;32
02.01.2020 17:00;0;20;21;30
02.01.2020 18:00;1;23;23;27
02.01.2020 19:00;0;22;22;24
02.01.2020 20:00;3;30;34;12
02.01.2020 21:00;0;31;31;13
02.01.2020 22:00;0;20;21;17
02.01.2020 23:00;0;19;20;15
03.01.2020 00:00;0;17;18;18
03.01.2020 01:00;0;12;13;26
